city,state,lat,long
Hoboken,NJ,40.745255,-74.034775
Port Hueneme,CA,34.155834,-119.202789
Auburn,NY,42.933334,-76.566666
Jamestown,NY,42.095554,-79.238609
Fulton,MO,38.846668,-91.948059
Bedford,OH,41.392502,-81.534447
Stuart,FL,27.192223,-80.243057
San Angelo,TX,31.442778,-100.450279
Woodbridge,NJ,40.560001,-74.290001
Vista,CA,33.193611,-117.241112
South Bend,IN,41.676388,-86.250275
Davenport,IA,41.543056,-90.590836
Sparks,NV,39.554443,-119.735558
Green Bay,WI,44.513332,-88.015831
San Mateo,CA,37.554169,-122.313057
Tyler,TX,32.349998,-95.300003
League City,TX,29.499722,-95.089722
Lewisville,TX,33.038334,-97.006111
Meridian,ID,43.614166,-116.398888
Waterbury,CT,41.55611,-73.041389
Jurupa Valley,CA,34,-117.48333
West Palm Beach,FL,26.709723,-80.064163
Antioch,CA,38.005001,-121.805832
High Point,NC,35.970554,-79.997498
Miami Gardens,FL,25.942122,-80.26992
Murrieta,CA,33.569443,-117.202499
Springfield,IL,39.799999,-89.650002
El Monte,CA,34.073334,-118.027496
West Jordan,UT,40.606388,-111.976112
College Station,TX,30.601389,-96.314445
Fairfield,CA,38.257778,-122.054169
Evansville,IN,37.977222,-87.550552
Cambridge,MA,42.373611,-71.110558
Richardson,TX,32.965557,-96.715836
Berkeley,CA,37.871666,-122.272781
Columbia,MS,38.951561,-92.328636
Athens,GA,33.950001,-83.383331
Lafayette,LA,30.216667,-92.033333
Sterling Heights,MI,42.580276,-83.030281
Visalia,CA,36.316666,-119.300003
Hampton,VA,37.034946,-76.360123
West Valley City,UT,40.689167,-111.993889
Surprise,AZ,33.630554,-112.366669
Thornton,CO,39.903057,-104.954445
Miramar,FL,25.978889,-80.282501
Murfreesboro,TN,35.846111,-86.391945
Pasadena,CA,34.156113,-118.131943
Bridgeport,CT,41.18639,-73.195557
Paterson,NJ,40.914745,-74.162827
Rockford,IL,42.259445,-89.064445
Joliet,IL,41.520557,-88.150558
Escondido,CA,33.124722,-117.080833
Kansas City,KS,39.106667,-94.676392
Springfield,MA,42.101391,-72.590279
Springfield,MO,37.210388,-93.297256
Corona,CA,33.866669,-117.566666
Pembroke Pines,FL,26.012501,-80.313614
Elk Grove,CA,38.438332,-121.381943
Oceanside,CA,33.211666,-117.325836
Newport News,VA,37.070831,-76.484444
Sioux Falls,SD,43.536388,-96.731667
Vancouver,WA,45.633331,-122.599998
Worcester,MA,42.271389,-71.798889
Tallahassee,FL,30.455,-84.253334
Columbus,GA,32.492222,-84.940277
Augusta,GA,33.466667,-81.966667
Montgomery,AL,32.361668,-86.279167
Aurora,IL,41.763889,-88.290001
Amarillo,TX,35.199165,-101.845276
Modesto,CA,37.661388,-120.994446
Garland,TX,32.907223,-96.635277
Irvine,CA,33.669445,-117.823059
Aurora,CO,39.710835,-104.8125
Arlington,TX,32.705002,-97.12278
Kansas City,MO,39.099724,-94.578331
Memphis,TN,35.1175,-89.971107
Indianapolis,IN,39.791,-86.148003
Columbus,OH,39.983334,-82.98333
Austin,TX,30.266666,-97.73333
Dallas,TX,32.779167,-96.808891
Redwood City,CA,37.487846,-122.236115
Gastonia,NC,35.25528,-81.180275
New Braunfels,TX,29.700001,-98.116669
Palm Beach Gardens,FL,26.838619,-80.129967
Forestville,CA,38.473625,-122.889992
Houston,TX,29.749907,-95.358421
Muncie,IN,40.191891,-85.401695
Palm Springs,CA,33.830517,-116.545601
Hot Springs,AR,34.496212,-93.05722
Richmond,VA,37.54129,-77.434769
Fayetteville,AR,36.082157,-94.171852
Yuma,AZ,32.698437,-114.650398
Peoria,AZ,33.580944,-112.237068
Tempe,AZ,33.427204,-111.939896
Diamond Bar,CA,34.028622,-117.810333
Auburn,AL,32.609856,-85.480782
Hoover,AL,33.405746,-86.811546
Decatur,AL,34.603817,-86.985039
Bloomington,MN,44.840797,-93.298279
Pittsburgh,PA,40.440600,-79.995900
